"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","xERA","FIP","xFIP","WAR","BS","H","R","ER","HR","BB","HBP","WP","SO","GB","FB","LD","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","FB%","SL%","CT%","CB%","CH%","SF%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HLD","K%","BB%","SIERA","EV","LA","Barrel%","maxEV","HardHit%","CSW%","playerid"
"Stefan Crichton","ARI","2","2","5","26","0","26.0","7.96","3.12","0.35",".292","83.3%","47.9%","4.5%","2.42","3.87","3.42","4.55","0.4","2","22","7","7","1","9","4","2","23","35","22","16",".229","1.19",".292","83.3%","1.59","21.9%","47.9%","30.1%","9.1%","4.5%","61.9%","37.1%","","","1.0%","","28.9%","65.5%","44.8%","63.6%","89.5%","80.0%","43.3%","9.0%","2","21.1%","8.3%","4.17","89.0","13.5","1.4%","109.6","38.4%","28.4%","16058"
"Brandon Bailey","HOU","0","0","0","5","0","7.1","4.91","3.68","1.23",".238","93.0%","31.8%","9.1%","2.45","4.70","5.51","6.63","0.0","0","6","2","2","1","3","1","1","4","7","11","4",".231","1.23",".238","93.0%","0.64","18.2%","31.8%","50.0%","9.1%","9.1%","52.6%","13.4%","9.3%","7.2%","17.5%","","28.3%","72.7%","48.5%","53.3%","93.8%","80.9%","45.4%","9.3%","0","13.3%","10.0%","5.79","86.1","27.2","4.5%","109.9","22.7%","24.7%","19582"
"Josh Staumont","KCR","2","1","0","26","0","25.2","12.97","5.61","0.70",".333","85.6%","28.6%","6.9%","2.45","3.87","3.54","4.71","0.4","0","20","8","7","2","16","3","1","37","16","29","11",".215","1.40",".333","85.6%","0.55","19.6%","28.6%","51.8%","13.8%","6.9%","72.5%","","","27.5%","","","31.3%","62.5%","44.5%","54.1%","72.8%","65.2%","42.4%","15.5%","8","33.0%","14.3%","3.89","94.4","23.0","5.4%","112.1","50.0%","34.3%","18335"
"Lucas Sims","CIN","3","0","0","20","0","25.2","11.92","3.86","1.05",".192","74.6%","41.8%","12.0%","2.45","2.19","3.70","4.06","0.4","2","13","10","7","3","11","3","0","34","23","25","7",".146","0.94",".192","74.6%","0.92","12.7%","41.8%","45.5%","16.0%","12.0%","48.1%","34.1%","","16.4%","1.5%","","28.6%","55.4%","39.2%","52.5%","79.4%","67.6%","39.7%","12.7%","5","33.0%","10.7%","3.34","87.3","18.8","1.8%","107.4","34.5%","32.8%","13470"
"Cam Bedrosian","LAA","0","0","0","11","0","14.2","6.75","3.68","0.00",".244","75.0%","34.1%","0.0%","2.45","3.82","2.92","5.81","0.3","0","10","4","4","0","6","0","1","11","14","22","5",".192","1.09",".244","75.0%","0.64","12.2%","34.1%","53.7%","13.6%","0.0%","52.7%","46.1%","","","","1.2%","22.2%","70.8%","43.6%","63.3%","89.3%","81.9%","44.0%","7.9%","0","19.0%","10.3%","5.08","90.8","25.7","2.4%","109.2","41.5%","27.8%","13360"
"Amir Garrett","CIN","1","0","1","21","0","18.1","12.76","3.44","1.96",".188","100.0%","44.4%","33.3%","2.45","3.25","4.34","2.76","0.2","1","10","5","5","4","7","0","0","26","16","12","8",".161","0.93",".188","100.0%","1.33","22.2%","44.4%","33.3%","25.0%","33.3%","44.5%","55.5%","","","","","33.3%","57.9%","42.1%","39.1%","75.8%","57.1%","35.8%","18.1%","6","37.7%","10.1%","2.82","89.1","13.8","11.1%","107.9","41.7%","35.5%","14375"
"Paul Fry","BAL","1","0","0","22","0","22.0","11.86","3.68","1.23",".339","89.9%","57.6%","18.8%","2.45","2.64","3.69","3.32","0.3","0","22","7","6","3","9","1","3","29","34","16","9",".250","1.41",".339","89.9%","2.13","15.3%","57.6%","27.1%","12.5%","18.8%","53.2%","45.7%","","","1.1%","","25.2%","62.7%","41.0%","45.5%","87.9%","72.7%","42.0%","11.2%","4","29.6%","9.2%","3.27","88.6","3.4","5.1%","108.0","33.9%","30.3%","15832"
"Brad Keller","KCR","5","3","0","9","9","54.2","5.76","2.80","0.33",".233","76.1%","52.8%","5.1%","2.47","4.45","3.43","4.33","1.3","0","39","16","15","2","17","2","1","35","84","39","36",".199","1.02",".233","76.1%","2.15","22.6%","52.8%","24.5%","7.7%","5.1%","58.9%","38.2%","","","2.9%","","27.1%","69.4%","46.0%","63.3%","90.6%","81.8%","44.9%","8.4%","0","16.3%","7.9%","4.82","89.2","7.5","3.7%","113.9","38.5%","24.8%","15734"
"Tony Watson","SFG","1","0","2","21","0","18.0","7.50","1.50","1.50",".196","70.3%","50.0%","16.7%","2.50","3.87","4.36","4.12","0.0","0","13","8","5","3","3","1","0","15","27","18","9",".188","0.89",".196","70.3%","1.50","16.7%","50.0%","33.3%","11.1%","16.7%","37.9%","13.9%","","","48.2%","","40.6%","61.9%","48.6%","64.8%","83.1%","73.5%","37.5%","12.9%","10","20.5%","4.1%","3.75","84.8","10.7","9.3%","113.1","29.6%","30.4%","3132"
"Aaron Loup","TBR","3","2","0","24","0","25.0","7.92","1.44","1.08",".219","75.8%","39.7%","15.0%","2.52","4.13","3.83","3.81","0.2","1","17","9","7","3","4","3","0","22","25","20","18",".191","0.84",".219","75.8%","1.25","28.6%","39.7%","31.7%","10.0%","15.0%","49.9%","10.3%","31.1%","","8.8%","","31.1%","67.7%","48.7%","76.4%","86.5%","83.1%","48.1%","8.2%","4","22.9%","4.2%","3.62","86.9","11.0","9.0%","110.8","32.8%","26.1%","10343"
"Caleb Smith","- - -","0","0","0","5","4","14.0","9.64","7.71","1.93",".100","100.0%","28.1%","14.3%","2.57","5.55","6.41","6.51","-0.1","0","6","4","4","3","12","0","0","15","9","21","2",".125","1.29",".100","100.0%","0.43","6.3%","28.1%","65.6%","19.0%","14.3%","51.3%","25.8%","","8.2%","14.6%","","26.1%","65.5%","42.3%","39.0%","80.6%","65.5%","41.2%","14.6%","0","25.0%","20.0%","6.16","90.6","30.7","9.1%","112.8","39.4%","33.0%","14875"
"Dustin May","LAD","3","1","0","12","10","56.0","7.07","2.57","1.45",".234","89.1%","54.7%","21.4%","2.57","4.21","4.62","3.98","0.5","0","45","18","16","9","16","1","2","44","88","42","31",".217","1.09",".234","89.1%","2.10","19.3%","54.7%","26.1%","2.4%","21.4%","56.9%","","24.6%","13.4%","5.1%","","30.2%","65.7%","48.0%","70.0%","88.1%","82.5%","50.2%","8.4%","0","19.6%","7.1%","4.29","87.9","6.3","6.7%","114.0","33.7%","26.3%","19716"
"Merrill Kelly","ARI","3","2","0","5","5","31.1","8.33","1.44","1.44",".247","92.0%","45.6%","15.2%","2.59","3.90","3.99","3.95","0.6","0","26","9","9","5","5","1","0","29","41","33","16",".218","0.99",".247","92.0%","1.24","17.8%","45.6%","36.7%","18.2%","15.2%","42.3%","","20.5%","22.2%","15.0%","","30.5%","64.9%","45.9%","66.3%","86.1%","78.8%","44.6%","9.7%","0","23.2%","4.0%","3.92","88.5","13.3","11.1%","115.0","40.0%","29.0%","11156"
"Dylan Floro","LAD","3","0","0","25","0","24.1","7.03","1.48","0.37",".297","78.1%","56.0%","6.7%","2.59","3.35","2.66","3.31","0.6","0","23","7","7","1","4","0","1","19","42","15","18",".245","1.11",".297","78.1%","2.80","24.0%","56.0%","20.0%","20.0%","6.7%","46.9%","","31.8%","","21.3%","","36.7%","61.4%","46.4%","68.7%","86.5%","77.9%","39.1%","10.2%","4","19.4%","4.1%","3.41","84.6","9.2","2.7%","108.0","26.7%","31.3%","13394"
"Shane Greene","ATL","1","0","0","28","0","27.2","6.83","2.93","0.65",".267","79.5%","42.7%","7.4%","2.60","3.50","3.81","4.75","0.3","0","22","9","8","2","9","2","0","21","32","27","16",".224","1.12",".267","79.5%","1.19","21.3%","42.7%","36.0%","22.2%","7.4%","39.4%","21.9%","25.4%","","13.3%","","30.4%","57.4%","40.5%","69.7%","91.8%","81.4%","37.2%","7.5%","9","19.3%","8.3%","4.51","87.9","15.3","6.5%","113.5","33.8%","28.1%","10756"
"Yohan Ramirez","SEA","0","0","3","16","0","20.2","11.32","8.71","1.31",".146","93.8%","13.6%","10.7%","2.61","4.21","6.05","6.77","-0.2","0","9","6","6","3","20","4","2","26","6","28","10",".129","1.40",".146","93.8%","0.21","22.7%","13.6%","63.6%","17.9%","10.7%","60.0%","40.0%","","","","","21.6%","60.2%","36.4%","58.9%","80.4%","72.5%","38.3%","10.0%","1","27.7%","21.3%","5.79","86.6","33.4","6.8%","104.5","29.5%","27.1%","19444"
"Matt Strahm","SDP","0","1","0","19","0","20.2","6.53","1.74","1.31",".196","90.4%","44.1%","14.3%","2.61","4.67","4.93","5.01","0.0","2","14","6","6","3","4","5","1","15","26","21","12",".189","0.87",".196","90.4%","1.24","20.3%","44.1%","35.6%","19.0%","14.3%","55.8%","15.3%","","18.5%","10.4%","","30.7%","65.5%","47.1%","72.0%","85.3%","80.7%","47.1%","9.1%","3","18.1%","4.8%","4.24","86.3","13.8","5.1%","115.8","33.9%","26.3%","13799"
"Jorge Alcala","MIN","2","1","0","16","0","24.0","10.13","3.00","1.13",".321","84.7%","37.9%","13.0%","2.63","3.48","3.57","3.79","0.3","1","21","8","7","3","8","0","1","27","22","23","13",".244","1.21",".321","84.7%","0.96","22.4%","37.9%","39.7%","17.4%","13.0%","46.4%","44.7%","","","8.9%","","27.5%","71.8%","45.4%","59.1%","77.8%","71.0%","40.4%","13.2%","0","28.7%","8.5%","3.52","86.7","17.5","5.1%","106.2","32.2%","28.3%","19459"
"Jake McGee","LAD","3","1","0","24","0","20.1","14.61","1.33","0.89",".293","77.5%","40.5%","11.1%","2.66","2.44","1.67","2.10","0.7","0","14","6","6","2","3","0","0","33","17","18","7",".184","0.84",".293","77.5%","0.94","16.7%","40.5%","42.9%","11.1%","11.1%","97.0%","3.0%","","","","","33.1%","80.9%","58.7%","64.7%","70.1%","68.7%","53.6%","18.4%","4","41.8%","3.8%","1.81","92.3","20.8","9.3%","107.3","48.8%","31.3%","7550"
"Tanner Rainey","WSN","1","1","0","20","0","20.1","14.16","3.10","1.77",".129","96.2%","31.4%","25.0%","2.66","3.09","3.78","2.74","0.3","0","8","6","6","4","7","1","3","32","11","16","8",".119","0.74",".129","96.2%","0.69","22.9%","31.4%","45.7%","0.0%","25.0%","60.9%","39.1%","","","","","36.8%","68.8%","50.2%","34.4%","73.3%","56.7%","41.8%","21.7%","9","42.7%","9.3%","2.30","91.2","18.5","11.4%","111.4","45.7%","35.5%","17610"
"James Karinchak","CLE","1","2","1","27","0","27.0","17.67","5.33","0.33",".333","73.4%","23.1%","5.6%","2.67","2.21","1.52","2.33","1.1","3","14","9","8","1","16","0","5","53","9","18","12",".151","1.11",".333","73.4%","0.50","30.8%","23.1%","46.2%","11.1%","5.6%","50.2%","","","49.8%","","","31.4%","55.6%","40.6%","45.1%","69.7%","57.9%","38.0%","17.1%","8","48.6%","14.7%","2.50","87.7","23.1","2.5%","109.9","35.0%","38.0%","20151"
"Hyun-Jin Ryu","TOR","5","2","0","12","12","67.0","9.67","2.28","0.81",".302","80.5%","51.1%","11.8%","2.69","3.13","3.01","3.32","1.9","0","60","22","20","6","17","1","1","72","93","51","38",".233","1.15",".302","80.5%","1.82","20.9%","51.1%","28.0%","5.9%","11.8%","34.7%","","24.3%","13.2%","27.8%","","34.0%","71.0%","48.8%","67.1%","82.9%","76.3%","39.9%","11.6%","0","26.2%","6.2%","3.67","87.0","9.7","3.2%","109.6","29.2%","26.0%","14444"
"Bryan Abreu","HOU","0","0","0","4","0","3.1","8.10","18.90","0.00",".125","80.0%","37.5%","0.0%","2.70","7.97","9.49","11.23","-0.1","0","1","2","1","0","7","2","0","3","3","3","2",".091","2.40",".125","80.0%","1.00","25.0%","37.5%","37.5%","0.0%","0.0%","35.5%","43.4%","","21.1%","","","5.9%","56.0%","22.4%","0.0%","92.9%","76.5%","32.9%","5.3%","0","15.0%","35.0%","10.18","85.8","13.6","0.0%","107.0","12.5%","22.4%","16609"
"Taijuan Walker","- - -","4","3","0","11","11","53.1","8.44","3.21","1.35",".243","78.5%","39.1%","13.1%","2.70","5.00","4.56","4.82","0.6","0","43","23","16","8","19","4","1","50","59","61","31",".213","1.16",".243","78.5%","0.97","20.5%","39.1%","40.4%","8.2%","13.1%","50.3%","21.6%","","10.2%","","17.9%","24.2%","65.7%","42.5%","63.3%","90.2%","81.6%","43.9%","7.8%","0","22.2%","8.4%","4.60","88.4","14.0","7.2%","108.6","32.2%","26.9%","11836"
"Kenta Maeda","MIN","6","1","0","11","11","66.2","10.80","1.35","1.21",".208","80.2%","49.0%","18.8%","2.70","2.75","3.00","2.63","2.1","0","40","20","20","9","10","0","0","80","77","48","32",".168","0.75",".208","80.2%","1.60","20.4%","49.0%","30.6%","18.8%","18.8%","25.9%","39.9%","1.9%","3.4%","28.9%","","40.8%","70.5%","52.4%","48.2%","84.2%","67.1%","39.1%","17.2%","0","32.3%","4.0%","2.92","85.3","10.8","7.0%","113.9","24.7%","32.8%","18498"
"Richard Rodriguez","PIT","3","2","4","24","0","23.1","13.11","1.93","1.16",".245","78.7%","39.2%","15.0%","2.70","3.18","2.85","2.83","0.6","1","15","8","7","3","5","2","3","34","20","20","11",".174","0.86",".245","78.7%","1.00","21.6%","39.2%","39.2%","5.0%","15.0%","72.4%","27.6%","","","","","32.7%","61.9%","45.3%","57.5%","73.1%","66.7%","43.0%","15.1%","2","36.6%","5.4%","2.40","91.7","16.7","7.7%","112.0","50.0%","34.9%","13549"
"Pete Fairbanks","TBR","6","3","0","27","2","26.2","13.16","4.73","0.68",".350","82.9%","46.8%","9.5%","2.70","3.30","3.04","3.58","0.6","2","23","9","8","2","14","2","6","39","29","21","12",".228","1.39",".350","82.9%","1.38","19.4%","46.8%","33.9%","14.3%","9.5%","57.3%","40.8%","","","1.8%","","32.3%","71.4%","48.2%","44.7%","78.9%","65.3%","40.6%","16.7%","7","33.3%","12.0%","3.48","89.8","13.6","4.8%","112.8","43.5%","30.4%","17998"
"Pierce Johnson","SDP","3","1","0","24","0","20.0","12.15","4.05","0.90",".310","80.2%","29.5%","11.1%","2.70","3.76","3.14","3.58","0.3","0","15","7","6","2","9","0","1","27","13","18","13",".211","1.20",".310","80.2%","0.72","29.5%","29.5%","40.9%","11.1%","11.1%","45.8%","","","54.2%","","","28.7%","61.2%","43.2%","36.7%","75.3%","61.2%","44.8%","16.8%","1","33.8%","11.3%","3.36","89.1","21.3","6.8%","106.3","38.6%","37.7%","13435"
"Ryan Borucki","TOR","1","1","0","21","0","16.2","11.34","6.48","0.54",".282","84.1%","35.0%","5.6%","2.70","3.42","3.61","4.91","0.2","1","12","5","5","1","12","0","0","21","14","18","8",".197","1.44",".282","84.1%","0.78","20.0%","35.0%","45.0%","5.6%","5.6%","48.1%","","37.9%","","14.0%","","29.2%","70.8%","43.8%","42.6%","87.5%","68.1%","35.1%","14.0%","3","28.8%","16.4%","4.62","88.2","15.5","7.5%","109.6","32.5%","29.8%","16350"
"Brandon Waddell","PIT","0","0","0","2","0","3.1","5.40","5.40","0.00",".200","75.0%","40.0%","0.0%","2.70","3.90","3.79","6.11","0.0","0","2","1","1","0","2","0","0","2","4","4","2",".167","1.20",".200","75.0%","1.00","20.0%","40.0%","40.0%","25.0%","0.0%","44.9%","40.8%","","","14.3%","","14.3%","78.6%","32.7%","80.0%","81.8%","81.3%","28.6%","6.1%","0","14.3%","14.3%","6.03","81.5","12.5","0.0%","107.7","30.0%","20.4%","18347"
"Zach Davies","SDP","7","4","0","12","12","69.1","8.18","2.47","1.17",".249","78.2%","41.3%","12.9%","2.73","5.13","3.88","4.14","1.4","0","55","26","21","9","19","0","2","63","78","70","41",".214","1.07",".249","78.2%","1.11","21.7%","41.3%","37.0%","10.0%","12.9%","38.5%","","17.3%","2.8%","41.3%","","29.5%","63.6%","41.5%","64.4%","85.6%","75.8%","35.2%","10.0%","0","22.8%","6.9%","4.32","87.5","14.6","10.3%","111.3","36.1%","29.6%","13183"
"Jose Urquidy","HOU","1","1","0","5","5","29.2","5.16","2.43","1.21",".209","86.6%","35.6%","10.8%","2.73","5.27","4.71","5.36","0.3","0","22","9","9","4","8","1","0","17","32","37","21",".206","1.01",".209","86.6%","0.86","23.3%","35.6%","41.1%","10.8%","10.8%","54.5%","13.1%","","11.9%","20.5%","","35.1%","70.2%","51.3%","71.6%","88.5%","82.3%","46.2%","9.1%","0","14.7%","6.9%","5.41","89.8","16.7","6.7%","111.4","38.9%","26.8%","18413"
"Thomas Hatch","TOR","3","1","0","17","1","26.1","7.86","4.44","0.68",".232","72.8%","44.3%","7.7%","2.73","4.86","4.14","5.06","0.3","0","18","11","8","2","13","2","0","23","31","26","13",".191","1.18",".232","72.8%","1.19","18.6%","44.3%","37.1%","19.2%","7.7%","53.5%","21.3%","","","25.2%","","30.7%","75.8%","47.2%","59.3%","78.7%","70.7%","36.5%","13.8%","3","21.1%","11.9%","4.80","86.4","11.9","5.6%","109.8","40.8%","27.0%","19264"
"Raisel Iglesias","CIN","4","3","8","22","0","23.0","12.13","1.96","0.39",".283","53.4%","41.5%","5.3%","2.74","2.48","1.84","2.87","1.1","2","16","11","7","1","5","1","0","31","22","19","12",".188","0.91",".283","53.4%","1.16","22.6%","41.5%","35.8%","10.5%","5.3%","46.3%","33.2%","","","20.5%","","36.8%","70.6%","51.8%","50.0%","72.6%","63.6%","44.3%","18.8%","2","34.1%","5.5%","2.63","86.7","15.1","5.6%","110.3","27.8%","34.6%","17130"
"Zac Gallen","ARI","3","2","0","12","12","72.0","10.25","3.13","1.13",".266","83.6%","45.6%","15.3%","2.75","3.68","3.66","3.62","1.4","0","55","24","22","9","25","2","4","82","82","59","39",".208","1.11",".266","83.6%","1.39","21.7%","45.6%","32.8%","10.2%","15.3%","39.3%","4.6%","20.0%","17.2%","19.0%","","32.6%","60.0%","42.9%","57.5%","84.9%","71.8%","37.4%","12.1%","0","28.2%","8.6%","3.88","87.0","12.4","7.1%","109.5","32.4%","31.6%","19291"
"Dakota Hudson","STL","3","2","0","8","8","39.0","7.15","3.46","1.15",".192","81.8%","56.7%","15.6%","2.77","3.60","4.50","4.41","0.4","0","24","13","12","5","15","1","0","31","59","32","13",".178","1.00",".192","81.8%","1.84","12.5%","56.7%","30.8%","3.1%","15.6%","58.6%","20.5%","","18.7%","2.2%","","31.7%","69.4%","46.5%","66.4%","88.8%","79.6%","39.4%","9.5%","0","20.5%","9.9%","4.69","89.1","8.3","4.8%","110.8","40.4%","24.4%","19206"
"Tyler Clippard","MIN","2","1","0","26","2","26.0","9.00","1.38","0.69",".258","69.3%","29.4%","5.9%","2.77","3.11","2.65","4.17","0.8","2","19","9","8","2","4","0","2","26","20","34","14",".202","0.88",".258","69.3%","0.59","20.6%","29.4%","50.0%","14.7%","5.9%","38.0%","","0.5%","7.0%","34.6%","20.0%","30.4%","69.9%","45.9%","64.9%","78.9%","73.3%","39.2%","12.3%","7","26.5%","4.1%","3.52","86.5","23.1","8.8%","107.8","27.9%","28.6%","5640"
"Andrew Miller","STL","1","1","4","16","0","13.0","11.08","3.46","0.00",".290","76.5%","58.1%","0.0%","2.77","2.02","2.58","4.21","0.3","1","9","4","4","0","5","3","2","16","18","11","2",".191","1.08",".290","76.5%","1.64","6.5%","58.1%","35.5%","0.0%","0.0%","40.0%","60.0%","","","","","26.5%","62.5%","42.0%","54.8%","76.4%","68.6%","42.9%","13.2%","2","29.1%","9.1%","3.41","86.6","11.0","0.0%","108.1","19.4%","33.2%","6785"
"Mark Melancon","ATL","2","1","11","23","0","22.2","5.56","2.78","0.40",".296","77.7%","59.4%","6.7%","2.78","3.45","3.72","4.42","0.3","2","22","8","7","1","7","2","1","14","41","15","13",".256","1.28",".296","77.7%","2.73","18.8%","59.4%","21.7%","6.7%","6.7%","3.4%","","54.5%","38.7%","3.4%","","31.3%","68.8%","46.1%","62.3%","93.2%","80.5%","39.6%","9.0%","0","14.7%","7.4%","4.34","88.9","-0.6","4.2%","108.0","33.3%","26.9%","4264"
"Josh Fleming","TBR","5","0","0","7","5","32.1","6.96","1.95","1.39",".250","89.7%","63.5%","22.7%","2.78","3.30","4.40","3.70","0.3","0","28","10","10","5","7","1","0","25","61","22","13",".230","1.08",".250","89.7%","2.77","13.5%","63.5%","22.9%","9.1%","22.7%","54.3%","29.4%","","0.9%","15.5%","","38.6%","67.9%","48.5%","73.3%","88.9%","80.7%","33.8%","9.4%","0","19.2%","5.4%","3.77","86.0","0.0","5.2%","110.7","34.0%","22.6%","20418"
"Tyler Matzek","ATL","4","3","0","21","0","29.0","13.34","3.10","0.31",".338","77.4%","43.1%","4.3%","2.79","2.48","1.92","3.00","0.8","2","23","9","9","1","10","2","1","43","28","23","14",".211","1.14",".338","77.4%","1.22","21.5%","43.1%","35.4%","0.0%","4.3%","62.1%","18.6%","8.7%","10.6%","","","36.0%","70.6%","51.1%","58.2%","84.6%","74.1%","43.7%","13.3%","1","35.5%","8.3%","2.79","86.7","10.7","3.0%","108.3","25.8%","30.0%","10058"
"Tejay Antone","CIN","0","3","0","13","4","35.1","11.46","4.08","1.02",".216","83.3%","48.7%","12.5%","2.80","2.92","3.64","3.92","0.7","1","20","11","11","4","16","2","2","45","38","32","8",".163","1.02",".216","83.3%","1.19","10.3%","48.7%","41.0%","12.5%","12.5%","40.5%","39.7%","","16.9%","2.9%","","30.3%","55.9%","40.9%","53.3%","79.6%","68.2%","41.5%","13.0%","1","31.9%","11.3%","3.69","86.7","11.9","7.7%","111.5","32.1%","34.1%","16233"
"Travis Lakins Sr.","BAL","3","2","1","22","0","25.2","8.77","4.56","0.70",".311","78.0%","38.2%","9.1%","2.81","5.30","4.01","4.65","0.4","0","25","11","8","2","13","2","3","25","29","22","25",".248","1.48",".311","78.0%","1.32","32.9%","38.2%","28.9%","13.6%","9.1%","32.6%","","41.9%","22.3%","3.2%","","27.8%","70.5%","45.3%","67.5%","89.0%","81.2%","41.1%","8.5%","1","21.6%","11.2%","4.60","90.0","7.9","9.2%","116.1","43.4%","23.2%","18600"
"Blake Parker","PHI","3","0","0","14","1","16.0","14.06","5.06","1.13",".303","76.9%","37.1%","16.7%","2.81","2.86","3.38","3.20","0.3","1","12","7","5","2","9","0","0","25","13","12","10",".200","1.31",".303","76.9%","1.08","28.6%","37.1%","34.3%","0.0%","16.7%","41.3%","","","16.5%","","42.2%","29.2%","65.8%","43.2%","61.4%","79.7%","72.1%","38.1%","12.1%","1","36.2%","13.0%","3.39","88.0","16.1","5.7%","109.5","37.1%","28.3%","5224"
"Joakim Soria","OAK","2","2","2","22","0","22.1","9.67","4.03","0.40",".279","75.2%","27.4%","3.1%","2.82","2.73","2.97","5.15","0.5","1","18","8","7","1","10","0","0","24","17","32","13",".209","1.25",".279","75.2%","0.53","21.0%","27.4%","51.6%","9.4%","3.1%","65.8%","20.4%","","5.0%","8.8%","","30.1%","71.5%","47.5%","75.8%","81.4%","79.3%","41.9%","9.8%","4","25.0%","10.4%","4.36","88.0","22.8","3.2%","107.7","33.9%","25.7%","6941"
"Gerrit Cole","NYY","7","3","0","12","12","73.0","11.59","2.10","1.73",".242","85.9%","37.4%","18.7%","2.84","3.13","3.89","3.38","1.4","0","53","27","23","14","17","2","2","94","65","75","34",".197","0.96",".242","85.9%","0.87","19.5%","37.4%","43.1%","8.0%","18.7%","52.8%","24.4%","","17.2%","5.6%","","35.2%","67.9%","49.5%","53.4%","79.6%","69.1%","43.8%","15.3%","0","32.6%","5.9%","3.21","90.4","16.4","9.1%","114.0","44.6%","31.5%","13125"
"Cionel Perez","HOU","0","0","0","7","0","6.1","11.37","8.53","0.00",".389","84.6%","58.8%","0.0%","2.84","3.71","3.51","4.42","0.1","0","7","2","2","0","6","0","0","8","10","3","4",".269","2.05",".389","84.6%","3.33","23.5%","58.8%","17.6%","33.3%","0.0%","62.5%","34.4%","","0.8%","2.3%","","29.3%","65.2%","42.2%","50.0%","86.7%","70.4%","35.9%","12.5%","2","25.0%","18.8%","5.14","90.0","3.8","0.0%","104.9","33.3%","28.1%","19614"
"Kyle Hendricks","CHC","6","5","0","12","12","81.1","7.08","0.89","1.11",".272","82.4%","47.1%","13.0%","2.88","3.13","3.55","3.78","1.9","0","73","26","26","10","8","1","1","64","114","77","51",".239","1.00",".272","82.4%","1.48","21.1%","47.1%","31.8%","13.0%","13.0%","54.5%","","","16.6%","28.9%","","34.8%","66.9%","49.7%","65.0%","83.6%","76.6%","46.3%","11.6%","0","20.3%","2.5%","4.00","86.2","11.0","4.5%","110.8","31.0%","30.6%","12049"
"Chaz Roe","TBR","2","0","1","10","0","9.1","8.68","2.89","0.00",".385","71.4%","23.1%","0.0%","2.89","3.74","2.55","4.82","0.3","0","10","4","3","0","3","1","0","9","6","11","9",".286","1.39",".385","71.4%","0.55","34.6%","23.1%","42.3%","9.1%","0.0%","25.8%","58.5%","15.7%","","","","27.6%","61.1%","42.8%","75.0%","81.8%","79.4%","45.3%","8.8%","2","23.1%","7.7%","4.22","86.1","21.5","0.0%","105.2","26.9%","31.4%","9866"
"Caleb Ferguson","LAD","2","1","0","21","1","18.2","13.02","1.45","1.93",".293","89.6%","54.5%","26.7%","2.89","1.94","3.57","2.33","0.3","2","16","7","6","4","3","0","0","27","24","15","5",".222","1.02",".293","89.6%","1.60","11.4%","54.5%","34.1%","0.0%","26.7%","79.6%","20.4%","","","","","44.5%","73.8%","58.9%","62.3%","81.8%","74.3%","49.0%","15.1%","5","36.0%","4.0%","2.24","87.9","9.8","6.7%","105.4","33.3%","28.9%","19349"
"Jonathan Hernandez","TEX","5","1","0","27","0","31.0","9.00","2.32","0.58",".275","78.3%","45.7%","6.1%","2.90","2.64","3.19","4.41","0.6","0","24","10","10","2","8","4","0","31","37","33","11",".212","1.03",".275","78.3%","1.12","13.6%","45.7%","40.7%","12.1%","6.1%","47.5%","39.8%","","","12.7%","","32.3%","63.6%","44.1%","52.0%","82.4%","68.5%","37.6%","13.9%","5","24.8%","6.4%","3.67","87.6","12.8","3.7%","109.0","37.8%","31.2%","17464"
"Mitch Keller","PIT","1","1","0","5","5","21.2","6.65","7.48","1.66",".104","93.8%","44.2%","16.0%","2.91","6.12","6.75","6.57","-0.2","0","9","7","7","4","18","1","2","16","23","25","4",".132","1.25",".104","93.8%","0.92","7.7%","44.2%","48.1%","4.0%","16.0%","55.8%","21.8%","","19.5%","2.9%","","23.8%","69.5%","40.5%","72.4%","87.8%","82.1%","36.6%","7.3%","0","18.4%","20.7%","6.94","88.5","14.2","11.5%","114.6","42.3%","22.9%","17594"
"Carlos Carrasco","CLE","3","4","0","12","12","68.0","10.85","3.57","1.06",".292","85.2%","44.3%","14.3%","2.91","3.79","3.59","3.65","1.5","0","55","22","22","8","27","2","6","82","74","56","37",".219","1.21",".292","85.2%","1.32","22.2%","44.3%","33.5%","7.1%","14.3%","39.3%","22.6%","0.3%","10.8%","27.0%","","33.2%","71.5%","48.6%","48.4%","83.2%","69.0%","40.1%","15.1%","0","29.3%","9.6%","3.91","88.0","10.3","8.3%","113.0","34.9%","30.3%","6632"
"Zack Wheeler","PHI","4","2","0","11","11","71.0","6.72","2.03","0.38",".306","74.6%","55.9%","7.5%","2.92","3.60","3.22","3.76","1.9","0","67","26","23","3","16","7","0","53","118","40","53",".253","1.17",".306","74.6%","2.95","25.1%","55.9%","19.0%","10.0%","7.5%","65.9%","15.9%","","10.1%","5.0%","3.2%","36.1%","74.9%","52.8%","71.6%","84.4%","79.4%","42.9%","10.9%","0","18.4%","5.6%","4.07","85.7","3.8","3.8%","115.6","34.0%","23.7%","10310"
