"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","xERA","FIP","xFIP","WAR","BS","H","R","ER","HR","BB","HBP","WP","SO","GB","FB","LD","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","FB%","SL%","CT%","CB%","CH%","SF%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HLD","K%","BB%","SIERA","EV","LA","Barrel%","maxEV","HardHit%","CSW%","playerid"
"Trevor Stephan","CLE","6","5","3","66","0","63.2","11.59","2.54","0.42",".338","73.5%","48.1%","5.7%","2.69","2.34","2.19","2.81","1.7","2","57","24","19","3","18","4","3","82","77","53","30",".233","1.18",".338","73.5%","1.45","18.8%","48.1%","33.1%","7.5%","5.7%","47.4%","24.8%","","","","27.7%","35.9%","69.5%","50.0%","52.8%","78.3%","67.6%","41.7%","16.2%","19","30.7%","6.7%","2.55","87.5","10.2","3.1%","111.6","34.4%","31.5%","19932"
"Michael Feliz","BOS","0","0","0","1","0","3.1","10.80","5.40","2.70",".000","62.5%","71.4%","100.0%","2.70","7.31","6.41","2.96","-0.1","0","1","2","1","1","2","0","0","4","5","1","1",".091","0.90",".000","62.5%","5.00","14.3%","71.4%","14.3%","0.0%","100.0%","45.9%","41.0%","","","13.1%","","29.3%","60.0%","39.3%","41.7%","100.0%","70.8%","32.8%","11.5%","0","30.8%","15.4%","3.28","88.6","-2.8","14.3%","107.0","42.9%","31.1%","11903"
"Jake Cousins","MIL","2","1","0","12","0","13.1","14.18","5.40","0.68",".333","86.0%","46.4%","9.1%","2.70","3.24","3.19","3.43","0.2","1","10","4","4","1","8","2","4","21","13","11","4",".204","1.35",".333","86.0%","1.18","14.3%","46.4%","39.3%","9.1%","9.1%","43.1%","56.2%","","","0.7%","","33.3%","63.5%","44.2%","43.9%","75.4%","60.2%","36.0%","17.6%","1","35.6%","13.6%","2.99","83.2","13.2","7.1%","109.2","32.1%","33.7%","21620"
"Cooper Criswell","TBR","0","0","0","1","1","3.1","10.80","2.70","0.00",".250","66.7%","62.5%","0.0%","2.70","1.13","1.61","2.94","0.1","0","2","1","1","0","1","0","0","4","5","3","0",".167","0.90",".250","66.7%","1.67","0.0%","62.5%","37.5%","0.0%","0.0%","55.6%","35.6%","8.9%","","","","26.3%","57.7%","44.4%","60.0%","80.0%","75.0%","57.8%","11.1%","0","30.8%","7.7%","2.90","93.3","4.9","0.0%","103.8","25.0%","37.8%","24975"
"Tyler Cyr","- - -","1","0","0","12","0","13.1","10.80","3.38","1.35",".290","91.5%","48.5%","25.0%","2.70","4.31","4.01","2.95","0.0","0","11","4","4","2","5","1","0","16","16","8","9",".224","1.20",".290","91.5%","2.00","27.3%","48.5%","24.2%","12.5%","25.0%","47.3%","","19.2%","","33.5%","","27.3%","71.8%","47.8%","63.6%","81.1%","75.7%","46.0%","11.6%","1","29.1%","9.1%","2.90","93.6","11.7","9.1%","113.1","54.5%","26.8%","18421"
"Wandy Peralta","NYY","3","4","4","56","0","56.1","7.51","2.72","0.32",".256","71.7%","53.9%","4.3%","2.72","2.66","2.86","3.61","1.0","5","42","19","17","2","17","1","2","47","83","46","25",".205","1.05",".256","71.7%","1.80","16.2%","53.9%","29.9%","8.7%","4.3%","41.9%","15.8%","","","42.3%","","37.8%","76.4%","51.2%","53.2%","82.0%","68.2%","34.8%","16.3%","9","21.1%","7.6%","3.51","85.5","7.6","4.4%","111.6","31.6%","27.8%","14295"
"Connor Overton","CIN","1","0","0","6","4","33.0","3.82","3.00","0.27",".204","71.9%","41.4%","2.6%","2.73","3.41","3.66","4.97","0.7","0","21","10","10","1","11","0","0","14","41","38","20",".186","0.97",".204","71.9%","1.08","20.2%","41.4%","38.4%","21.1%","2.6%","49.0%","19.6%","","12.8%","18.6%","","26.4%","65.6%","44.3%","79.1%","90.1%","86.5%","45.8%","6.0%","0","11.3%","8.9%","5.44","90.2","16.2","3.0%","115.5","41.4%","25.4%","18376"
"Eduard Bazardo","BOS","1","0","0","12","0","16.1","6.06","2.20","2.20",".182","100.0%","41.7%","19.0%","2.76","3.94","6.05","4.77","-0.2","0","12","5","5","4","4","2","1","11","20","21","7",".203","0.98",".182","100.0%","0.95","14.6%","41.7%","43.8%","14.3%","19.0%","45.3%","44.5%","","","10.2%","","36.1%","66.3%","47.9%","55.8%","91.8%","75.2%","39.0%","11.9%","0","16.9%","6.2%","4.16","87.4","15.6","6.3%","111.1","31.3%","26.7%","20997"
"Reynaldo Lopez","CHW","6","4","0","61","1","65.1","8.68","1.52","0.14",".281","63.3%","38.7%","1.5%","2.76","2.92","1.93","3.28","2.0","5","51","24","20","1","11","1","4","63","67","68","38",".211","0.95",".281","63.3%","0.99","22.0%","38.7%","39.3%","13.2%","1.5%","55.0%","32.4%","","7.8%","4.8%","","36.4%","70.7%","49.9%","59.9%","81.8%","72.2%","39.5%","13.9%","9","24.8%","4.3%","3.02","89.4","15.3","5.0%","119.1","38.5%","29.3%","16400"
"Carl Edwards Jr.","WSN","6","3","2","57","0","62.0","8.13","3.63","1.16",".259","83.6%","47.7%","12.5%","2.76","3.31","4.24","4.09","0.1","3","51","22","19","8","25","1","2","56","83","64","27",".222","1.23",".259","83.6%","1.30","15.5%","47.7%","36.8%","10.9%","12.5%","67.8%","","","22.6%","9.7%","","34.0%","68.8%","47.9%","64.3%","87.4%","77.5%","39.9%","10.7%","13","21.9%","9.8%","3.88","87.7","12.2","4.6%","111.0","35.6%","27.0%","13607"
"Zach Pop","- - -","4","0","0","35","0","39.0","5.77","0.92","0.46",".315","76.9%","56.8%","6.7%","2.77","3.36","2.96","3.43","0.5","0","41","13","12","2","4","2","1","25","71","30","24",".272","1.15",".315","76.9%","2.37","19.2%","56.8%","24.0%","6.7%","6.7%","76.9%","22.9%","","","0.2%","","40.9%","65.6%","50.9%","74.6%","92.3%","83.9%","40.7%","8.2%","3","15.9%","2.5%","3.21","88.2","1.3","5.6%","110.0","45.2%","25.0%","20185"
"Dylan Coleman","KCR","5","2","0","68","0","68.0","9.40","4.90","0.66",".247","77.1%","41.4%","7.5%","2.78","3.78","3.88","4.38","0.4","3","47","26","21","5","37","6","7","71","72","67","35",".191","1.24",".247","77.1%","1.07","20.1%","41.4%","38.5%","9.0%","7.5%","57.5%","42.5%","","","","","29.9%","66.0%","44.3%","58.8%","78.3%","70.4%","40.0%","13.1%","16","24.6%","12.8%","4.04","86.4","12.5","6.9%","108.7","36.6%","28.5%","22276"
"Brad Hand","PHI","3","2","5","55","0","45.0","7.60","4.60","0.40",".271","75.9%","40.3%","4.3%","2.80","4.40","3.93","4.90","0.3","2","37","18","14","2","23","6","1","38","52","47","30",".219","1.33",".271","75.9%","1.11","23.3%","40.3%","36.4%","12.8%","4.3%","48.0%","52.0%","","","","","23.5%","62.1%","40.4%","71.3%","86.9%","81.8%","43.7%","7.3%","13","19.2%","11.6%","4.51","87.2","14.3","5.3%","107.4","26.7%","28.8%","9111"
"Adam Cimber","TOR","10","6","4","77","0","70.2","7.39","1.66","0.76",".288","75.1%","41.8%","8.3%","2.80","3.64","3.47","3.87","0.9","4","66","28","22","6","13","8","1","58","87","72","49",".243","1.12",".288","75.1%","1.21","23.6%","41.8%","34.6%","16.7%","8.3%","64.6%","35.4%","","","","","32.1%","71.1%","50.6%","73.3%","86.6%","82.2%","47.5%","9.0%","19","19.8%","4.4%","3.53","89.1","12.1","5.1%","119.8","38.8%","26.8%","15288"
"Jalen Beeks","TBR","2","3","2","42","7","61.0","10.33","3.25","1.03",".282","80.7%","45.8%","13.5%","2.80","3.70","3.49","3.26","0.6","4","49","22","19","7","22","2","3","70","71","52","32",".217","1.16",".282","80.7%","1.37","20.6%","45.8%","33.5%","11.5%","13.5%","48.1%","","1.1%","1.4%","49.3%","","33.6%","71.1%","48.4%","58.6%","80.1%","71.1%","39.5%","14.0%","4","28.0%","8.8%","3.16","86.7","9.6","8.3%","112.4","37.2%","28.9%","17192"
"Liam Hendriks","CHW","4","4","37","58","0","57.2","13.27","2.50","1.09",".296","76.6%","34.9%","11.7%","2.81","2.59","2.68","2.64","1.6","4","44","22","18","7","16","2","8","85","45","60","24",".203","1.04",".296","76.6%","0.75","18.6%","34.9%","46.5%","11.7%","11.7%","60.5%","29.0%","","10.4%","","","34.9%","69.4%","47.4%","42.7%","78.2%","61.5%","36.2%","18.2%","0","36.2%","6.8%","2.14","90.5","17.8","9.1%","112.0","39.4%","32.8%","3548"
"Framber Valdez","HOU","17","6","0","31","31","201.1","8.67","3.00","0.49",".285","75.7%","66.5%","12.5%","2.82","3.31","3.06","2.99","4.4","0","166","71","63","11","67","11","11","194","366","88","96",".222","1.16",".285","75.7%","4.16","17.5%","66.5%","16.0%","9.1%","12.5%","52.8%","","10.5%","27.8%","8.8%","","30.6%","65.6%","46.6%","52.6%","88.6%","75.8%","45.8%","11.3%","0","23.5%","8.1%","3.14","89.8","-3.6","5.8%","118.4","41.4%","28.8%","17295"
"Zack Wheeler","PHI","12","7","0","26","26","153.0","9.59","2.00","0.76",".287","77.1%","45.9%","9.8%","2.82","3.10","2.89","3.06","4.1","0","125","52","48","13","34","7","1","163","184","132","85",".221","1.04",".287","77.1%","1.39","21.2%","45.9%","32.9%","9.1%","9.8%","59.5%","14.1%","12.7%","11.9%","","1.7%","36.0%","69.9%","50.3%","67.7%","84.1%","77.3%","42.3%","11.4%","0","26.9%","5.6%","3.19","85.7","11.5","7.7%","113.6","34.5%","27.7%","10310"
"Andrew Chafin","DET","2","3","3","64","0","57.1","10.52","2.98","0.78",".289","69.8%","51.3%","9.6%","2.83","2.92","3.06","3.27","0.9","1","48","26","18","5","19","3","4","67","77","52","21",".217","1.17",".289","69.8%","1.48","14.0%","51.3%","34.7%","9.6%","9.6%","67.7%","31.9%","","","0.3%","","35.9%","67.3%","46.7%","51.9%","88.9%","70.2%","34.4%","13.9%","19","27.6%","7.8%","2.97","87.5","11.0","8.4%","115.4","33.8%","30.0%","12988"
"David Phelps","TOR","0","2","1","65","1","63.2","9.05","4.38","0.28",".292","77.2%","35.5%","3.1%","2.83","3.91","3.16","4.26","0.7","1","52","22","20","2","31","4","3","64","60","65","44",".219","1.30",".292","77.2%","0.92","26.0%","35.5%","38.5%","10.8%","3.1%","41.6%","","24.5%","26.4%","7.5%","","27.4%","61.0%","39.6%","73.0%","90.2%","82.7%","36.5%","6.9%","9","23.5%","11.4%","4.00","88.4","16.1","5.2%","111.9","34.7%","26.9%","6316"
"Peter Strzelecki","MIL","2","1","1","30","0","35.0","10.29","3.86","0.51",".289","75.2%","31.1%","5.3%","2.83","3.39","2.94","3.81","0.4","2","28","13","11","2","15","1","0","40","28","38","24",".212","1.23",".289","75.2%","0.74","26.7%","31.1%","42.2%","2.6%","5.3%","53.2%","33.2%","","","13.6%","","32.7%","66.4%","46.3%","62.7%","80.9%","73.2%","40.3%","12.4%","4","27.0%","10.1%","3.47","88.1","16.5","7.6%","112.6","38.0%","30.6%","21367"
"Jose Leclerc","TEX","0","3","7","39","0","47.2","10.20","3.97","0.94",".243","80.0%","29.2%","7.7%","2.83","3.17","3.72","4.38","0.5","2","33","17","15","5","21","3","2","54","35","65","20",".190","1.13",".243","80.0%","0.54","16.7%","29.2%","54.2%","23.1%","7.7%","36.6%","6.9%","","0.4%","22.0%","34.1%","35.5%","72.1%","47.6%","48.9%","78.0%","63.4%","33.0%","17.4%","4","27.3%","10.6%","3.62","86.6","24.2","6.7%","110.3","32.5%","29.8%","14524"
"Drew Rasmussen","TBR","11","7","0","28","28","146.0","7.71","1.91","0.80",".262","76.0%","46.6%","9.0%","2.84","3.46","3.26","3.56","2.9","0","121","51","46","13","31","3","10","125","196","144","81",".220","1.04",".262","76.0%","1.36","19.2%","46.6%","34.2%","11.8%","9.0%","39.4%","23.6%","32.6%","4.4%","","","37.2%","73.8%","52.7%","62.7%","86.9%","77.0%","42.4%","12.1%","0","21.4%","5.3%","3.74","88.9","10.1","6.6%","114.8","37.9%","25.9%","25385"
"Tommy Kahnle","LAD","0","0","1","13","0","12.2","9.95","2.13","1.42",".125","85.4%","68.0%","28.6%","2.84","2.39","4.38","3.14","0.0","0","5","4","4","2","3","3","1","14","17","7","1",".125","0.63",".125","85.4%","2.43","4.0%","68.0%","28.0%","0.0%","28.6%","23.0%","0.6%","","","76.4%","","33.0%","77.1%","54.0%","56.7%","73.4%","68.1%","47.7%","17.2%","1","30.4%","6.5%","2.31","82.3","-5.2","7.7%","107.0","30.8%","29.9%","11384"
"Joe Mantiply","ARI","2","5","2","69","0","60.0","9.15","0.90","0.90",".317","77.2%","53.5%","15.0%","2.85","3.22","2.83","2.52","1.2","6","59","22","19","6","6","3","3","61","91","40","39",".252","1.08",".317","77.2%","2.28","22.9%","53.5%","23.5%","7.5%","15.0%","43.8%","30.2%","","","26.0%","","42.9%","64.0%","52.3%","59.7%","84.0%","72.9%","44.3%","14.2%","22","25.1%","2.5%","2.40","86.5","5.4","4.0%","110.9","37.0%","32.6%","14857"
"Shane Bieber","CLE","13","8","0","31","31","200.0","8.91","1.62","0.81",".287","75.8%","48.2%","10.4%","2.88","3.51","2.87","2.98","4.9","0","172","70","64","18","36","2","5","198","265","173","112",".228","1.04",".287","75.8%","1.53","20.4%","48.2%","31.5%","6.4%","10.4%","34.5%","27.9%","17.3%","17.9%","2.4%","","34.8%","69.0%","49.5%","47.9%","88.2%","72.1%","43.0%","13.8%","0","25.0%","4.6%","3.21","89.9","10.0","7.2%","110.2","42.9%","31.4%","19427"
"Carlos Rodon","SFG","14","8","0","31","31","178.0","11.98","2.63","0.61",".293","75.1%","34.1%","6.5%","2.88","2.64","2.25","2.91","6.2","0","131","59","57","12","52","3","10","237","141","184","88",".200","1.03",".293","75.1%","0.77","21.3%","34.1%","44.6%","13.0%","6.5%","61.2%","31.0%","","5.8%","2.0%","","34.4%","69.8%","49.7%","57.6%","80.7%","71.6%","43.1%","14.1%","0","33.4%","7.3%","2.83","89.0","19.4","6.5%","112.5","39.7%","30.6%","16137"
"Martin Perez","TEX","12","8","0","32","32","196.1","7.75","3.16","0.50",".295","77.0%","51.4%","6.5%","2.89","3.59","3.27","3.80","3.8","0","178","70","63","11","69","6","6","169","290","168","106",".239","1.26",".295","77.0%","1.73","18.8%","51.4%","29.8%","7.1%","6.5%","43.4%","1.3%","24.1%","3.5%","27.7%","","31.2%","67.5%","44.2%","74.0%","86.8%","81.0%","35.9%","8.4%","0","20.6%","8.4%","4.08","88.2","8.2","4.3%","112.0","34.5%","27.2%","6902"
"Logan Webb","SFG","15","9","0","32","32","192.1","7.63","2.29","0.51",".293","71.8%","56.7%","8.3%","2.90","3.59","3.03","3.31","4.2","0","174","76","62","11","49","7","6","163","317","133","109",".238","1.16",".293","71.8%","2.38","19.5%","56.7%","23.8%","6.8%","8.3%","36.3%","32.7%","","","31.0%","","34.5%","64.4%","47.0%","64.5%","87.2%","77.5%","41.6%","10.6%","0","20.7%","6.2%","3.56","88.9","3.1","5.5%","112.3","38.9%","29.3%","17995"
"Patrick Sandoval","LAA","6","9","0","27","27","148.2","9.14","3.63","0.48",".316","76.8%","47.4%","6.3%","2.91","3.91","3.09","3.67","3.8","0","139","56","48","8","60","5","6","151","197","128","91",".243","1.34",".316","76.8%","1.54","21.9%","47.4%","30.8%","10.2%","6.3%","37.0%","28.8%","","9.6%","24.6%","","35.5%","66.5%","48.0%","59.5%","82.5%","72.3%","40.2%","13.3%","0","23.7%","9.4%","3.94","87.3","11.4","5.7%","111.0","33.9%","29.2%","19447"
"Sam Moll","OAK","2","1","0","53","0","43.1","9.55","4.57","1.04",".252","82.4%","50.0%","12.8%","2.91","2.96","4.22","4.05","0.0","2","33","16","14","5","22","3","2","46","58","39","19",".204","1.27",".252","82.4%","1.49","16.4%","50.0%","33.6%","20.5%","12.8%","44.6%","55.4%","","","","","26.2%","64.2%","42.3%","64.0%","84.1%","76.9%","42.5%","9.8%","16","24.6%","11.8%","3.80","87.6","9.5","5.2%","110.0","35.3%","29.2%","14874"
"Erasmo Ramirez","WSN","4","2","0","60","2","86.1","6.36","1.46","1.15",".267","81.3%","45.2%","12.2%","2.92","3.49","4.05","3.94","0.4","0","79","31","28","11","14","6","1","61","119","90","54",".242","1.08",".267","81.3%","1.32","20.5%","45.2%","34.2%","13.3%","12.2%","43.9%","6.7%","45.9%","","3.4%","","34.2%","72.0%","51.6%","67.7%","86.9%","80.0%","45.9%","10.3%","5","17.6%","4.0%","3.72","88.7","11.9","4.9%","115.2","35.7%","26.1%","10314"
"Mason Thompson","WSN","1","1","1","24","0","24.2","5.47","3.28","0.73",".230","80.2%","53.3%","8.3%","2.92","3.72","4.17","4.55","0.1","1","19","8","8","2","9","1","1","15","40","24","11",".209","1.14",".230","80.2%","1.67","14.7%","53.3%","32.0%","12.5%","8.3%","74.7%","23.9%","","","1.4%","","34.3%","69.6%","49.5%","69.4%","85.5%","79.1%","42.9%","10.3%","0","14.9%","8.9%","4.43","86.1","12.2","3.9%","110.8","32.9%","24.5%","21850"
"Jose Quintana","- - -","6","7","0","32","32","165.2","7.44","2.55","0.43",".302","74.2%","46.4%","5.3%","2.93","3.86","2.99","3.72","4.0","0","154","61","54","8","47","3","1","137","227","152","110",".245","1.21",".302","74.2%","1.49","22.5%","46.4%","31.1%","7.9%","5.3%","52.4%","5.8%","","22.4%","19.5%","","36.0%","69.0%","47.7%","66.4%","88.5%","77.7%","35.5%","10.6%","0","20.2%","6.9%","4.02","86.5","9.9","5.5%","114.9","35.8%","25.3%","11423"
"Joe Musgrove","SDP","10","7","0","30","30","181.0","9.15","2.09","1.09",".276","79.8%","44.6%","12.3%","2.93","3.27","3.59","3.47","3.5","0","154","67","59","22","42","14","4","184","221","179","95",".225","1.08",".276","79.8%","1.23","19.2%","44.6%","36.2%","11.7%","12.3%","31.3%","24.4%","19.0%","19.1%","6.3%","","35.5%","61.4%","46.5%","62.1%","87.6%","76.3%","42.1%","11.0%","0","24.9%","5.7%","3.45","86.4","11.7","6.0%","111.2","32.4%","30.8%","12970"
"Jhonathan Diaz","LAA","1","1","0","4","3","15.1","6.46","5.87","0.59",".273","83.3%","51.1%","7.1%","2.93","4.84","4.48","4.99","0.1","0","13","5","5","1","10","0","0","11","23","14","8",".232","1.50",".273","83.3%","1.64","17.8%","51.1%","31.1%","7.1%","7.1%","50.0%","25.4%","","8.5%","16.1%","","26.5%","70.6%","42.4%","62.5%","91.7%","80.0%","36.0%","8.5%","0","16.7%","15.2%","5.45","91.3","10.0","4.4%","109.7","46.7%","22.9%","20298"
"Corbin Burnes","MIL","12","8","0","33","33","202.0","10.83","2.27","1.02",".259","76.8%","47.0%","14.1%","2.94","3.05","3.14","2.85","4.6","0","144","73","66","23","51","13","10","243","229","163","95",".196","0.97",".259","76.8%","1.40","19.5%","47.0%","33.5%","11.0%","14.1%","7.1%","9.1%","55.4%","18.5%","9.9%","","35.7%","65.4%","46.1%","51.4%","83.4%","67.3%","35.1%","15.1%","0","30.5%","6.4%","2.91","87.2","10.0","5.7%","117.6","34.1%","32.1%","19361"
"Nabil Crismatt","SDP","5","2","0","50","1","67.1","8.69","2.94","0.67",".280","70.3%","50.5%","9.1%","2.94","3.49","3.22","3.46","0.8","4","57","29","22","5","22","2","0","65","96","55","39",".223","1.17",".280","70.3%","1.75","20.5%","50.5%","28.9%","5.5%","9.1%","29.1%","0.4%","","20.4%","50.1%","","35.6%","64.1%","47.2%","63.2%","85.3%","75.4%","40.9%","11.6%","5","23.2%","7.9%","3.37","87.7","7.8","5.2%","115.1","36.1%","30.0%","17732"
"Brad Boxberger","MIL","4","3","1","70","0","64.0","9.56","3.80","0.84",".279","79.9%","34.3%","8.1%","2.95","3.44","3.57","4.06","0.7","7","52","23","21","6","27","2","0","68","57","74","35",".218","1.23",".279","79.9%","0.77","21.1%","34.3%","44.6%","12.2%","8.1%","55.0%","22.5%","","","22.6%","","26.8%","63.3%","42.8%","70.1%","81.8%","77.7%","43.9%","9.5%","29","25.4%","10.1%","3.65","86.4","19.1","6.4%","110.2","33.9%","30.7%","10133"
"Triston McKenzie","CLE","11","11","0","31","30","191.1","8.94","2.07","1.18",".237","80.3%","32.7%","10.3%","2.96","3.54","3.59","3.77","3.6","0","138","65","63","25","44","5","8","190","162","242","91",".199","0.95",".237","80.3%","0.67","18.4%","32.7%","48.9%","14.0%","10.3%","56.1%","22.0%","","21.9%","","","35.9%","72.8%","52.5%","59.1%","85.1%","75.3%","44.9%","13.0%","0","25.6%","5.9%","3.57","90.2","19.7","9.8%","113.0","40.4%","27.6%","18000"
"Jonathan Hernandez","TEX","2","3","4","29","0","30.1","8.01","5.04","0.59",".286","72.8%","62.4%","11.1%","2.97","4.08","3.97","3.99","0.0","2","26","14","10","2","17","1","5","27","53","18","14",".230","1.42",".286","72.8%","2.94","16.5%","62.4%","21.2%","0.0%","11.1%","43.2%","36.2%","","","20.5%","","26.0%","71.5%","43.8%","48.1%","84.6%","71.4%","39.1%","12.5%","3","20.6%","13.0%","4.02","90.3","0.5","4.7%","113.3","50.0%","27.4%","17464"
"Ryan Pressly","HOU","3","3","33","50","0","48.1","12.10","2.42","0.74",".260","69.5%","46.1%","12.5%","2.98","2.62","2.31","2.21","1.4","4","30","17","16","4","13","0","0","65","47","32","23",".178","0.89",".260","69.5%","1.47","22.5%","46.1%","31.4%","3.1%","12.5%","32.6%","36.8%","","27.0%","3.5%","","36.8%","68.1%","48.2%","46.4%","79.1%","63.3%","36.6%","17.7%","0","35.7%","7.1%","2.14","89.0","9.1","5.8%","108.8","37.5%","33.2%","7005"
"Steven Okert","MIA","5","5","0","60","0","51.1","11.05","4.56","1.23",".229","83.9%","35.0%","13.0%","2.98","3.22","4.36","4.14","-0.1","4","34","19","17","7","26","7","1","63","42","54","24",".181","1.17",".229","83.9%","0.78","20.0%","35.0%","45.0%","11.1%","13.0%","31.9%","68.1%","","","","","31.6%","64.8%","45.1%","60.8%","78.5%","71.2%","40.8%","13.0%","19","28.5%","11.8%","3.50","86.8","19.9","5.6%","111.8","29.6%","30.6%","13580"
"Penn Murfee","SEA","4","0","0","64","1","69.1","9.87","2.34","0.91",".243","77.3%","34.3%","8.2%","2.99","2.64","3.10","3.60","0.7","0","48","23","23","7","18","2","2","76","60","85","30",".190","0.95",".243","77.3%","0.71","17.1%","34.3%","48.6%","8.2%","8.2%","49.0%","51.0%","","","","","36.1%","68.5%","50.2%","62.3%","87.7%","77.4%","43.7%","11.4%","7","27.9%","6.6%","3.01","85.7","19.5","5.1%","112.2","30.1%","29.8%","25174"
"Luis Castillo","- - -","8","6","0","25","25","150.1","10.00","2.69","0.78",".275","75.3%","46.9%","10.0%","2.99","3.31","3.07","3.23","3.7","0","118","56","50","13","45","8","0","167","182","130","76",".210","1.08",".275","75.3%","1.40","19.6%","46.9%","33.5%","10.8%","10.0%","56.7%","21.1%","","","22.2%","","33.1%","69.9%","49.3%","61.1%","82.6%","74.5%","44.0%","12.6%","0","27.2%","7.3%","3.35","89.0","10.4","6.8%","112.4","37.2%","28.4%","15689"
"Enoli Paredes","HOU","0","0","0","3","0","3.0","6.00","9.00","0.00",".333","83.3%","44.4%","0.0%","3.00","3.80","4.78","5.77","0.0","0","3","1","1","0","3","0","0","2","4","2","3",".273","2.00",".333","83.3%","2.00","33.3%","44.4%","22.2%","0.0%","0.0%","86.0%","14.0%","","","","","20.7%","75.0%","47.4%","50.0%","90.5%","81.5%","49.1%","8.8%","0","14.3%","21.4%","6.59","87.1","9.6","0.0%","98.0","44.4%","24.6%","20447"
"Kyle Barraclough","LAA","0","1","0","8","0","9.0","9.00","4.00","0.00",".292","72.7%","25.0%","0.0%","3.00","4.40","2.45","4.26","0.2","0","7","3","3","0","4","0","2","9","6","11","7",".212","1.22",".292","72.7%","0.55","29.2%","25.0%","45.8%","9.1%","0.0%","46.0%","45.3%","8.6%","","","","29.9%","74.2%","49.6%","43.5%","71.7%","62.3%","44.6%","18.7%","2","24.3%","10.8%","3.97","91.1","21.7","16.7%","108.4","41.7%","30.9%","13713"
"Chad Green","NYY","1","1","1","14","0","15.0","9.60","3.00","0.60",".300","72.3%","25.0%","4.5%","3.00","3.24","2.85","4.15","0.3","3","13","6","5","1","5","0","0","16","10","22","8",".228","1.20",".300","72.3%","0.45","20.0%","25.0%","55.0%","9.1%","4.5%","63.5%","","","35.3%","","1.2%","37.6%","78.4%","57.3%","68.1%","78.0%","74.6%","48.1%","14.5%","3","25.8%","8.1%","3.60","88.7","25.0","4.9%","104.9","43.9%","26.6%","15552"
"Tyler Holton","ARI","0","0","0","10","0","9.0","6.00","2.00","1.00",".241","83.3%","30.0%","6.3%","3.00","3.54","4.22","5.41","0.0","0","8","3","3","1","2","1","1","6","9","16","5",".222","1.11",".241","83.3%","0.56","16.7%","30.0%","53.3%","12.5%","6.3%","35.2%","","17.6%","14.5%","32.7%","","37.1%","72.6%","50.9%","61.1%","82.2%","72.8%","39.0%","13.8%","0","15.4%","5.1%","4.61","86.6","21.5","3.3%","108.7","36.7%","25.2%","26231"
"Seranthony Dominguez","PHI","6","5","9","54","0","51.0","10.76","3.88","0.71",".269","76.8%","48.0%","9.8%","3.00","3.36","3.09","3.26","1.0","2","36","18","17","4","22","1","3","61","59","41","23",".196","1.14",".269","76.8%","1.44","18.7%","48.0%","33.3%","12.2%","9.8%","69.7%","25.5%","","","4.7%","","32.3%","74.0%","48.8%","55.0%","81.8%","71.1%","39.7%","14.1%","15","29.5%","10.6%","3.15","90.2","8.9","8.1%","111.9","45.5%","27.2%","19249"
"Zach Jackson","OAK","2","3","3","54","0","48.0","12.56","6.19","0.19",".273","73.1%","26.8%","1.9%","3.00","3.59","2.78","4.14","0.9","3","28","18","16","1","33","2","9","67","26","53","18",".168","1.27",".273","73.1%","0.49","18.6%","26.8%","54.6%","11.3%","1.9%","54.3%","44.6%","","","1.0%","","27.4%","63.2%","40.2%","50.0%","81.6%","67.8%","35.9%","13.0%","26","33.2%","16.3%","3.71","89.4","21.6","10.0%","110.1","39.0%","29.5%","19493"
"Steven Brault","CHC","0","0","0","9","0","9.0","8.00","5.00","0.00",".320","71.4%","44.0%","0.0%","3.00","2.85","3.33","5.31","0.1","1","8","4","3","0","5","1","1","8","11","12","2",".242","1.44",".320","71.4%","0.92","8.0%","44.0%","48.0%","0.0%","0.0%","64.3%","31.2%","","","4.5%","","28.7%","62.5%","40.8%","58.6%","88.6%","75.0%","35.7%","10.2%","1","20.5%","12.8%","4.56","92.9","11.0","4.0%","105.7","36.0%","25.5%","15291"
"Edward Cabrera","MIA","6","4","0","14","14","71.2","9.42","4.14","1.26",".207","86.1%","45.3%","15.4%","3.01","4.05","4.59","4.12","0.3","0","44","24","24","10","33","9","2","75","77","65","28",".177","1.07",".207","86.1%","1.18","16.5%","45.3%","38.2%","7.7%","15.4%","32.1%","15.4%","","20.7%","31.9%","","33.5%","62.7%","44.0%","56.9%","82.0%","69.7%","35.7%","13.3%","0","25.8%","11.3%","4.05","86.7","12.7","8.6%","115.6","33.3%","30.6%","21690"
"Ross Stripling","TOR","10","4","1","32","24","134.1","7.44","1.34","0.80",".269","73.6%","43.8%","7.7%","3.01","3.57","3.11","3.67","3.1","0","117","49","45","12","20","2","0","111","175","156","69",".228","1.02",".269","73.6%","1.12","17.3%","43.8%","39.0%","10.3%","7.7%","41.3%","21.9%","","9.6%","27.1%","","37.9%","69.8%","51.4%","67.1%","87.0%","78.6%","42.4%","11.0%","0","20.7%","3.7%","3.71","88.9","12.2","9.2%","115.8","37.2%","27.5%","13273"
