"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","LD%","GB%","FB%","HR/FB","wOBA","WAR","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","maxEV","Barrel%","HardHit%","CSW%","xBA","xSLG","xwOBA","playerid"
"Matt Olson","ATL","162","616","699","148","70","44","0","34","86","103","75","6","170","4","4","0","13","0","0",".240","10.7%","24.3%",".325",".477",".802",".237",".274","18.7%","39.0%","42.3%","17.9%",".344","3.1","120","32.8%","75.4%","49.5%","66.8%","79.2%","12.8%","40.4%","37.3%","22.2%","16.2%","44.4%","39.3%","92.9","16.1","116.8","13.6%","50.9%","25.6%",".248",".467",".347","14344"
"Josh Bell","- - -","156","552","647","147","98","29","3","17","78","71","81","4","102","5","6","0","22","0","1",".266","12.5%","15.8%",".362",".422",".784",".156",".296","18.6%","50.4%","30.9%","12.1%",".344","2.0","123","29.1%","70.1%","45.3%","71.7%","86.3%","8.8%","38.4%","36.0%","25.7%","17.1%","53.3%","29.6%","88.9","8.3","112.2","7.2%","40.5%","23.7%",".273",".424",".349","13145"
"Mark Canha","NYM","140","462","542","123","86","24","0","13","71","61","48","1","97","28","4","0","3","3","1",".266","8.9%","17.9%",".367",".403",".770",".136",".309","20.1%","45.3%","34.7%","10.2%",".343","2.8","128","27.7%","63.3%","42.8%","73.2%","84.2%","8.5%","41.7%","29.5%","28.7%","20.9%","50.7%","28.5%","87.7","10.9","108.0","4.9%","36.3%","29.5%",".245",".362",".323","11445"
"Travis d'Arnaud","ATL","107","396","426","106","62","25","1","18","61","60","19","0","90","11","0","0","12","0","0",".268","4.5%","21.1%",".319",".472",".791",".205",".306","18.6%","45.1%","36.3%","16.2%",".343","3.9","120","39.4%","71.0%","52.8%","64.6%","82.5%","13.3%","44.8%","30.4%","24.8%","15.4%","53.3%","31.4%","88.5","11.8","112.3","8.5%","38.6%","28.4%",".247",".412",".313","7739"
"J.D. Martinez","BOS","139","533","596","146","86","43","1","16","76","62","52","1","145","5","5","0","20","0","0",".274","8.7%","24.3%",".341",".448",".790",".174",".345","22.1%","38.2%","39.7%","10.3%",".343","1.0","119","34.9%","78.1%","51.9%","58.0%","81.2%","14.6%","33.8%","36.9%","29.3%","11.5%","53.9%","34.6%","89.1","14.1","111.6","12.4%","41.4%","26.7%",".260",".471",".349","6184"
"Justin Turner","LAD","128","468","532","130","81","36","0","13","61","81","50","1","89","6","8","0","13","3","0",".278","9.4%","16.7%",".350",".438",".788",".160",".313","24.5%","32.0%","43.4%","7.7%",".343","2.4","123","31.3%","72.5%","48.3%","73.4%","86.7%","8.9%","35.9%","34.9%","29.2%","12.7%","55.3%","32.0%","89.5","18.4","108.9","8.0%","40.6%","23.5%",".267",".427",".339","5235"
"Lars Nootbaar","STL","108","290","347","66","33","16","3","14","53","40","51","1","71","1","5","0","3","4","1",".228","14.7%","20.5%",".340",".448",".788",".221",".248","17.4%","43.8%","38.8%","16.5%",".342","2.7","125","24.5%","58.8%","38.7%","67.3%","83.8%","8.6%","42.4%","36.6%","21.0%","16.1%","48.7%","35.3%","91.7","10.7","113.0","12.1%","46.0%","28.9%",".247",".414",".346","21454"
"Andrew Benintendi","- - -","126","461","521","140","109","23","3","5","54","51","52","0","77","2","5","1","7","8","3",".304","10.0%","14.8%",".373",".399",".772",".095",".352","22.1%","43.4%","34.5%","3.8%",".342","2.8","122","27.9%","74.9%","48.1%","73.4%","85.5%","8.9%","30.5%","41.0%","28.5%","9.7%","59.0%","31.3%","89.2","12.6","109.8","5.1%","38.5%","22.0%",".273",".407",".334","17901"
"Francisco Lindor","NYM","161","630","706","170","114","25","5","26","98","107","59","2","133","10","7","0","11","16","6",".270","8.4%","18.8%",".339",".449",".788",".179",".301","17.9%","43.1%","39.0%","13.3%",".342","6.8","127","33.8%","69.0%","47.7%","66.7%","88.1%","10.0%","43.3%","32.7%","24.0%","19.0%","49.8%","31.2%","89.3","13.8","110.7","8.3%","41.1%","25.4%",".254",".427",".331","12916"
"Steven Kwan","CLE","147","563","638","168","130","25","7","6","89","52","62","2","60","7","4","2","9","19","5",".298","9.7%","9.4%",".373",".400",".772",".101",".323","22.6%","42.4%","35.0%","3.4%",".341","4.4","124","23.3%","55.3%","37.7%","85.0%","95.4%","3.1%","30.8%","35.4%","33.8%","17.3%","63.9%","18.9%","85.1","11.8","107.1","1.4%","20.8%","27.6%",".268",".341",".312","24610"
"Oscar Gonzalez","CLE","91","362","382","107","69","27","0","11","39","43","15","2","75","3","2","0","6","1","2",".296","3.9%","19.6%",".327",".461",".789",".166",".345","20.8%","50.9%","28.4%","13.4%",".339","1.6","122","48.3%","76.5%","59.3%","65.2%","86.0%","14.4%","43.9%","37.0%","19.0%","16.6%","49.8%","33.6%","88.6","5.4","113.3","7.3%","39.8%","26.8%",".279",".422",".320","20970"
"Ian Happ","CHC","158","573","641","155","94","42","2","17","72","72","58","4","149","6","4","0","11","9","4",".271","9.0%","23.2%",".342",".440",".781",".169",".336","20.1%","46.4%","33.5%","11.9%",".339","3.5","120","30.7%","74.6%","49.0%","62.1%","83.7%","11.9%","42.5%","32.7%","24.8%","14.3%","54.9%","30.8%","89.7","10.9","113.9","6.5%","40.2%","25.9%",".239",".379",".306","17919"
"Dylan Moore","SEA","104","205","255","46","27","11","2","6","41","24","34","2","75","13","1","1","5","21","8",".224","13.3%","29.4%",".368",".385",".753",".161",".320","17.7%","32.3%","50.0%","9.2%",".338","2.1","126","20.8%","62.3%","38.4%","61.8%","81.3%","9.5%","42.4%","34.8%","22.7%","18.2%","50.0%","31.8%","87.2","20.7","110.5","12.8%","36.1%","30.5%",".202",".360",".322","18042"
"Dansby Swanson","ATL","162","640","696","177","119","32","1","25","99","96","49","0","182","3","4","0","12","18","7",".277","7.0%","26.1%",".329",".447",".776",".170",".348","21.2%","38.7%","40.0%","13.5%",".337","6.4","116","31.4%","74.6%","49.5%","57.1%","80.4%","13.9%","39.8%","35.1%","25.1%","13.4%","52.6%","34.0%","90.2","15.7","109.6","10.8%","46.1%","28.8%",".257",".461",".337","18314"
"Ty France","SEA","140","551","613","151","103","27","1","20","65","83","35","3","94","21","5","0","18","0","0",".274","5.7%","15.3%",".338",".436",".774",".162",".296","21.4%","47.8%","30.7%","14.1%",".337","2.4","126","35.8%","78.5%","52.4%","67.4%","92.9%","9.3%","38.3%","34.2%","27.5%","18.0%","51.7%","30.3%","87.6","10.1","110.4","5.4%","36.3%","22.1%",".262",".398",".321","17982"
"Jake McCarthy","ARI","99","321","354","91","64","16","3","8","53","43","23","0","76","6","1","3","3","23","3",".283","6.5%","21.5%",".342",".427",".769",".143",".349","22.3%","49.2%","28.6%","11.8%",".337","2.3","116","34.5%","74.0%","51.9%","57.2%","84.5%","13.3%","37.3%","37.3%","25.3%","16.9%","56.6%","26.5%","87.4","8.0","108.3","4.8%","33.3%","26.1%",".249",".357",".298","21622"
"Kolten Wong","MIL","134","430","497","108","65","24","4","15","65","47","46","2","88","14","5","2","5","17","6",".251","9.3%","17.7%",".339",".430",".770",".179",".280","21.3%","41.8%","36.8%","11.9%",".336","2.5","117","24.9%","65.8%","42.6%","65.9%","88.2%","8.2%","45.3%","29.2%","25.5%","16.9%","56.7%","26.4%","87.0","14.0","109.7","5.4%","35.2%","26.1%",".235",".353",".305","12532"
"Anthony Santander","BAL","152","574","647","138","81","24","0","33","78","89","55","1","122","13","5","0","14","0","2",".240","8.5%","18.9%",".318",".455",".773",".214",".248","18.9%","31.4%","49.8%","14.5%",".336","2.5","120","35.0%","68.3%","47.7%","71.0%","88.6%","9.2%","44.0%","35.9%","20.1%","21.2%","44.0%","34.8%","90.1","21.4","112.0","11.6%","43.3%","26.0%",".257",".471",".352","14551"
"Randy Arozarena","TBR","153","586","645","154","90","41","3","20","72","89","46","2","156","11","2","0","17","32","12",".263","7.1%","24.2%",".327",".445",".773",".183",".325","16.4%","50.7%","32.9%","14.1%",".336","2.7","125","33.4%","65.6%","46.0%","63.8%","81.1%","12.2%","39.6%","38.0%","22.5%","19.7%","48.8%","31.5%","89.9","8.9","114.1","7.9%","40.7%","30.3%",".234",".382",".301","19290"
"Ronald Acuna Jr.","ATL","119","467","533","124","85","24","0","15","71","50","53","4","126","10","3","0","8","29","11",".266","9.9%","23.6%",".351",".413",".764",".148",".331","18.3%","47.7%","34.0%","12.8%",".335","2.2","114","28.5%","76.2%","47.9%","66.9%","83.0%","10.9%","44.5%","35.2%","20.3%","18.0%","47.4%","34.6%","91.2","10.8","116.6","12.8%","49.7%","24.7%",".272",".486",".366","18401"
"C.J. Cron","COL","150","575","632","148","88","28","3","29","79","102","43","6","164","8","5","0","16","0","0",".257","6.8%","25.9%",".315",".468",".783",".210",".307","20.4%","39.4%","40.1%","17.4%",".335","1.3","101","35.8%","64.4%","47.7%","65.1%","86.9%","10.8%","34.9%","38.9%","26.2%","17.1%","51.7%","31.3%","88.6","14.1","115.5","10.8%","42.2%","28.4%",".244",".438",".321","12546"
"Seiya Suzuki","CHC","111","397","446","104","66","22","2","14","54","46","42","3","110","4","3","0","8","9","5",".262","9.4%","24.7%",".336",".433",".770",".171",".326","20.0%","40.0%","40.0%","12.1%",".334","2.0","116","25.6%","57.4%","39.0%","64.2%","88.9%","8.0%","31.4%","36.6%","32.1%","17.9%","50.0%","32.1%","89.6","11.2","111.3","11.0%","40.3%","31.2%",".247",".419",".327","30116"
"Keston Hiura","MIL","80","234","266","53","30","8","1","14","34","32","23","0","111","8","1","0","3","5","2",".226","8.6%","41.7%",".316",".449",".765",".222",".355","25.0%","37.1%","37.9%","29.8%",".334","0.8","115","34.1%","71.1%","48.8%","50.0%","71.2%","18.4%","41.9%","33.9%","24.2%","11.3%","50.0%","38.7%","91.7","16.1","111.0","15.3%","45.2%","34.3%",".205",".425",".317","20003"
"J.D. Davis","- - -","115","318","365","79","50","16","1","12","46","35","39","1","122","6","2","0","13","1","1",".248","10.7%","33.4%",".340",".418",".758",".170",".360","21.2%","44.9%","33.8%","17.9%",".333","0.9","119","29.3%","79.8%","51.3%","52.0%","71.1%","18.0%","37.4%","37.4%","25.3%","15.2%","48.5%","36.4%","92.4","12.3","112.7","16.2%","55.6%","29.8%",".245",".471",".353","16219"
"Jorge Polanco","MIN","104","375","445","88","56","16","0","16","54","56","64","1","95","2","4","0","4","3","3",".235","14.4%","21.3%",".346",".405",".751",".171",".269","21.8%","30.0%","48.2%","11.9%",".333","1.8","119","28.2%","64.0%","42.3%","64.3%","85.8%","9.7%","48.9%","29.9%","21.1%","14.4%","52.5%","33.1%","89.0","21.7","111.0","10.2%","38.4%","27.8%",".248",".451",".358","13152"
"Gio Urshela","MIN","144","501","551","143","100","27","3","13","61","64","41","2","96","2","7","0","21","1","0",".285","7.4%","17.4%",".338",".429",".767",".144",".326","22.8%","42.5%","34.7%","9.1%",".332","2.4","119","39.7%","72.0%","53.1%","73.1%","87.6%","10.0%","35.9%","37.6%","26.5%","13.3%","53.4%","33.3%","88.9","11.8","110.3","7.0%","37.6%","24.5%",".268",".416",".323","10681"
"Josh Naylor","CLE","122","449","498","115","67","28","0","20","47","79","38","4","80","6","5","0","13","6","1",".256","7.6%","16.1%",".319",".452",".771",".196",".268","17.4%","48.9%","33.7%","15.9%",".331","1.7","117","37.5%","73.4%","51.0%","72.5%","88.9%","9.5%","45.2%","34.2%","20.6%","16.8%","48.1%","35.0%","89.4","10.3","113.0","8.6%","42.5%","22.4%",".257",".430",".327","18839"
"Sean Murphy","OAK","148","537","612","134","77","37","2","18","67","66","56","2","124","13","5","0","14","1","0",".250","9.2%","20.3%",".332",".426",".759",".177",".290","20.3%","42.1%","37.6%","11.5%",".331","5.1","122","34.0%","72.1%","49.3%","67.1%","85.3%","11.0%","41.6%","35.6%","22.7%","17.5%","50.5%","32.1%","88.7","11.5","114.0","10.5%","41.1%","25.7%",".255",".439",".344","19352"
"Corey Seager","TEX","151","593","663","145","87","24","1","33","91","83","58","7","103","7","5","0","14","3","0",".245","8.7%","15.5%",".317",".455",".772",".211",".242","21.0%","40.0%","39.0%","17.1%",".331","4.5","117","35.1%","81.9%","54.5%","53.0%","88.2%","13.7%","42.2%","34.3%","23.4%","10.5%","52.3%","37.2%","91.1","13.6","111.3","10.5%","45.5%","22.7%",".283",".510",".372","13624"
"Matt Chapman","TOR","155","538","621","123","68","27","1","27","83","76","68","1","170","10","5","0","7","2","2",".229","11.0%","27.4%",".324",".433",".757",".204",".277","17.4%","34.0%","48.5%","14.9%",".331","4.1","117","22.9%","67.9%","41.8%","61.9%","79.7%","10.8%","47.7%","34.6%","17.7%","16.4%","43.4%","40.2%","92.2","19.0","112.7","12.9%","50.7%","29.3%",".234",".440",".341","16505"
"Garrett Cooper","MIA","119","414","469","108","64","33","2","9","37","50","40","0","119","10","5","0","6","0","0",".261","8.5%","25.4%",".337",".415",".752",".155",".340","26.3%","44.3%","29.3%","10.2%",".330","1.4","115","31.7%","64.7%","45.2%","64.1%","87.9%","9.9%","39.3%","33.0%","27.7%","14.3%","51.7%","34.0%","89.6","8.8","112.6","10.7%","43.3%","29.5%",".260",".436",".341","15279"
"Evan Longoria","SFG","89","266","298","65","38","13","0","14","31","42","27","2","83","2","3","0","6","0","0",".244","9.1%","27.9%",".315",".451",".767",".207",".297","22.0%","36.6%","41.4%","18.2%",".330","1.3","115","29.5%","64.8%","44.4%","61.1%","79.6%","12.2%","47.8%","29.0%","23.1%","15.1%","52.7%","32.3%","91.1","18.2","109.6","12.4%","46.8%","29.9%",".233",".437",".324","9368"
"Cal Raleigh","SEA","119","370","415","78","30","20","1","27","46","63","38","0","122","2","5","0","5","1","0",".211","9.2%","29.4%",".284",".489",".774",".278",".226","15.8%","28.5%","55.7%","19.1%",".330","4.2","121","36.0%","78.4%","52.4%","59.0%","79.2%","15.3%","47.8%","30.0%","22.1%","15.8%","47.4%","36.8%","90.9","22.5","114.0","15.4%","43.5%","26.4%",".216",".461",".324","21534"
"DJ LeMahieu","NYY","125","467","541","122","92","18","0","12","74","46","67","0","71","4","2","1","12","4","3",".261","12.4%","13.1%",".357",".377",".734",".116",".285","18.4%","53.3%","28.3%","10.7%",".329","3.0","116","27.6%","54.7%","39.4%","80.3%","92.0%","5.0%","25.8%","38.3%","35.8%","15.8%","61.4%","22.8%","89.2","3.0","110.9","5.3%","40.6%","28.9%",".274",".403",".344","9874"
"Jose Miranda","MIN","125","444","483","119","79","25","0","15","45","66","28","0","91","10","1","0","19","1","1",".268","5.8%","18.8%",".325",".426",".751",".158",".307","20.3%","42.1%","37.6%","11.3%",".329","1.1","117","37.2%","73.5%","51.5%","63.8%","88.2%","11.6%","46.0%","31.4%","22.6%","15.3%","50.0%","34.7%","89.3","13.8","109.4","6.2%","42.1%","26.0%",".253",".410",".317","20538"
"Gleyber Torres","NYY","140","526","572","135","82","28","1","24","73","76","39","2","129","3","3","1","12","10","5",".257","6.8%","22.6%",".310",".451",".761",".194",".295","18.5%","35.6%","45.9%","13.1%",".328","2.7","115","31.5%","74.9%","49.4%","62.0%","82.4%","12.4%","36.7%","33.9%","29.4%","12.7%","52.6%","34.7%","90.4","17.5","111.3","10.7%","44.9%","26.8%",".244",".441",".319","16997"
"Gavin Lux","LAD","129","421","471","116","83","20","7","6","66","42","47","0","95","0","3","0","3","7","2",".276","10.0%","20.2%",".346",".399",".745",".124",".341","21.6%","48.9%","29.5%","6.2%",".328","3.0","113","26.7%","65.0%","42.6%","64.2%","86.9%","9.1%","42.2%","36.5%","21.3%","17.3%","54.1%","28.6%","88.0","6.8","108.1","6.1%","39.8%","27.9%",".247",".372",".314","19955"
"Christian Yelich","MIL","154","575","671","145","102","25","4","14","99","57","88","5","162","5","2","1","9","19","3",".252","13.1%","24.1%",".355",".383",".738",".130",".327","18.4%","58.6%","23.0%","14.7%",".328","2.3","111","26.2%","68.2%","43.1%","57.6%","88.5%","9.8%","34.4%","35.3%","30.3%","13.9%","52.2%","33.9%","91.5","3.6","117.2","8.2%","48.1%","26.8%",".258",".404",".339","11477"
"Harold Ramirez","TBR","120","403","435","121","91","24","0","6","46","58","19","1","72","9","4","0","5","3","5",".300","4.4%","16.6%",".343",".404",".747",".104",".350","19.4%","52.5%","28.1%","6.4%",".327","1.2","119","44.7%","74.0%","56.4%","64.1%","87.2%","13.4%","41.8%","39.4%","18.8%","18.5%","52.5%","29.0%","88.5","4.8","113.7","4.8%","40.9%","26.9%",".280",".387",".314","14387"
"Rowdy Tellez","MIL","153","529","599","116","58","23","0","35","67","89","62","9","121","5","3","0","20","2","1",".219","10.4%","20.2%",".306",".461",".767",".242",".215","15.6%","38.9%","45.5%","18.7%",".327","0.8","110","31.0%","60.5%","43.3%","67.9%","85.7%","9.4%","41.4%","39.7%","19.0%","17.5%","42.1%","40.4%","91.1","15.3","116.9","12.9%","45.7%","28.9%",".252",".479",".349","15679"
"Giancarlo Stanton","NYY","110","398","452","84","46","7","0","31","53","78","50","2","137","0","3","0","8","0","0",".211","11.1%","30.3%",".297",".462",".759",".251",".227","14.8%","46.6%","38.6%","30.4%",".327","1.2","115","30.7%","62.6%","43.1%","54.7%","74.7%","14.7%","35.6%","38.3%","26.1%","14.0%","47.0%","39.0%","95.0","10.8","119.8","19.2%","52.1%","32.9%",".240",".477",".351","4949"
"Luis Urias","MIL","119","406","472","97","63","17","1","16","54","47","50","0","99","11","5","0","9","1","2",".239","10.6%","21.0%",".335",".404",".739",".165",".274","20.2%","36.5%","43.3%","11.9%",".327","2.3","110","26.5%","65.2%","43.2%","75.2%","82.7%","8.6%","46.8%","31.1%","22.1%","17.6%","50.3%","32.1%","87.3","18.0","109.7","8.3%","34.9%","28.2%",".238",".398",".326","16622"
"Lourdes Gurriel Jr.","TOR","121","453","493","132","94","32","1","5","52","52","31","1","83","6","2","0","11","3","4",".291","6.3%","16.8%",".343",".400",".743",".108",".346","23.7%","44.6%","31.7%","4.2%",".327","1.0","114","33.4%","69.9%","48.6%","69.0%","87.6%","9.7%","37.9%","34.4%","27.7%","12.9%","54.0%","33.1%","90.6","10.9","109.5","3.8%","45.3%","26.5%",".273",".400",".321","19238"
"Andrew Vaughn","CHW","134","510","555","138","92","28","1","17","60","76","31","0","96","9","5","0","13","0","0",".271","5.6%","17.3%",".321",".429",".750",".159",".301","18.1%","47.7%","34.1%","11.9%",".327","-0.4","113","35.5%","63.2%","47.0%","69.4%","89.8%","9.0%","35.3%","37.2%","27.4%","15.3%","53.5%","31.3%","90.8","7.5","112.1","7.9%","48.4%","29.1%",".255",".415",".319","26197"
"Chas McCormick","HOU","119","359","407","88","60","12","2","14","47","44","46","0","106","1","1","0","5","4","3",".245","11.3%","26.0%",".332",".407",".738",".162",".308","21.8%","43.1%","35.1%","16.1%",".326","2.0","114","32.5%","72.3%","48.0%","58.3%","80.1%","13.9%","34.3%","35.8%","29.9%","10.2%","59.8%","29.9%","88.1","12.8","109.9","10.2%","39.0%","29.3%",".232",".414",".325","19599"
"Josh Rojas","ARI","125","443","510","119","84","25","1","9","66","56","55","2","98","2","5","5","7","23","3",".269","10.8%","19.2%",".349",".391",".739",".122",".323","23.3%","41.6%","35.2%","7.4%",".326","2.7","108","22.5%","65.1%","40.8%","68.2%","85.2%","8.2%","32.7%","35.5%","31.8%","13.5%","56.6%","29.9%","88.8","11.9","109.1","4.5%","36.1%","27.3%",".242",".365",".308","19734"
"Ryan McMahon","COL","153","529","597","130","84","23","3","20","67","67","60","0","158","5","3","0","7","7","3",".246","10.1%","26.5%",".327",".414",".741",".168",".311","22.7%","44.6%","32.7%","16.5%",".326","3.1","95","28.5%","66.2%","45.2%","60.0%","83.0%","11.3%","36.9%","34.0%","29.1%","9.9%","50.5%","39.6%","91.7","10.8","113.7","10.4%","46.3%","28.4%",".248",".423",".330","15112"
"Willy Adames","MIL","139","563","617","134","72","31","0","31","83","98","49","3","166","1","4","0","11","8","3",".238","7.9%","26.9%",".298",".458",".756",".220",".278","20.0%","34.2%","45.9%","16.8%",".325","4.7","109","33.7%","72.4%","49.6%","59.5%","83.6%","12.9%","40.4%","34.7%","24.9%","16.7%","48.1%","35.2%","88.9","18.9","110.6","13.0%","43.4%","27.4%",".238",".451",".323","15986"
"Adolis Garcia","TEX","156","605","657","151","85","34","5","27","88","101","40","2","183","6","6","0","9","25","6",".250","6.1%","27.9%",".300",".456",".756",".207",".309","19.4%","40.7%","39.8%","15.9%",".324","3.8","112","40.3%","75.5%","53.5%","59.2%","76.9%","16.8%","42.3%","36.2%","21.5%","16.1%","44.6%","39.3%","92.1","13.1","113.0","12.9%","47.4%","29.6%",".244",".447",".322","19287"
"Luis Robert","CHW","98","380","401","108","78","18","0","12","54","56","17","1","77","3","1","0","6","11","3",".284","4.2%","19.2%",".319",".426",".746",".142",".329","22.0%","45.1%","32.9%","12.0%",".324","2.1","111","48.3%","84.1%","61.5%","62.6%","87.8%","15.2%","37.2%","34.9%","28.0%","19.1%","50.3%","30.6%","89.3","10.0","117.8","8.9%","42.4%","24.3%",".272",".449",".327","20043"
"Salvador Perez","KCR","114","445","473","113","66","23","1","23","48","76","18","2","109","7","3","0","9","0","0",".254","3.8%","23.0%",".292",".465",".757",".211",".285","18.0%","36.0%","46.0%","14.7%",".324","0.5","108","45.7%","78.5%","57.4%","60.8%","80.9%","16.9%","45.4%","32.7%","21.8%","11.8%","54.0%","34.2%","91.4","17.8","112.5","11.2%","49.0%","26.6%",".245",".473",".326","7304"
"Wander Franco","TBR","83","314","344","87","58","20","3","6","46","33","26","1","33","0","4","0","5","8","0",".277","7.6%","9.6%",".328",".417",".746",".140",".290","24.6%","44.2%","31.2%","6.7%",".323","2.3","116","34.7%","74.7%","51.3%","78.9%","94.2%","6.1%","38.6%","34.0%","27.4%","19.6%","51.9%","28.4%","87.3","8.2","112.4","4.6%","35.4%","19.6%",".285",".408",".331","23667"
"Seby Zavala","CHW","61","178","205","48","32","14","0","2","22","21","19","0","64","3","2","3","1","0","0",".270","9.3%","31.2%",".347",".382",".729",".112",".404","24.1%","28.4%","47.4%","3.6%",".323","1.9","111","35.8%","79.1%","53.5%","46.5%","78.8%","18.2%","42.0%","29.4%","28.6%","16.0%","52.1%","31.9%","88.8","22.7","105.8","9.2%","37.0%","29.5%",".207",".326",".283","18887"
"Seth Brown","OAK","150","500","555","115","61","26","3","25","55","73","51","3","146","3","1","0","7","11","2",".230","9.2%","26.3%",".305",".444",".749",".214",".273","20.1%","35.9%","44.1%","16.0%",".323","1.8","117","32.9%","70.7%","48.1%","54.1%","85.8%","13.1%","42.3%","34.4%","23.4%","18.6%","46.5%","34.9%","89.2","15.8","112.9","13.0%","40.8%","28.2%",".251",".454",".338","18171"
"T.J. Friedl","CIN","72","225","258","54","31","10","5","8","33","25","20","0","40","7","6","0","3","7","2",".240","7.8%","15.5%",".314",".436",".750",".196",".251","17.8%","32.2%","50.0%","8.9%",".323","0.5","101","26.9%","63.3%","42.7%","66.2%","89.4%","8.0%","47.6%","28.8%","23.6%","14.7%","56.0%","29.3%","87.2","19.8","107.2","4.7%","29.3%","27.1%",".215",".335",".283","19522"
"Yonathan Daza","COL","113","372","408","112","87","21","2","2","56","34","26","0","58","4","5","1","12","0","3",".301","6.4%","14.2%",".349",".384",".733",".083",".347","23.9%","55.3%","20.8%","3.0%",".323","0.7","93","39.4%","65.5%","50.2%","73.8%","89.7%","8.9%","36.3%","36.3%","27.5%","16.9%","58.4%","24.7%","84.8","4.6","106.0","1.9%","25.0%","26.1%",".282",".351",".308","15794"
"Isaac Paredes","TBR","111","331","381","68","32","16","0","20","48","45","44","0","67","4","2","0","12","0","1",".205","11.5%","17.6%",".304",".435",".740",".230",".195","12.4%","42.1%","45.5%","16.5%",".323","2.4","116","25.1%","62.6%","39.8%","76.8%","90.2%","5.9%","51.9%","27.8%","20.3%","16.2%","55.6%","28.2%","87.4","15.9","110.4","6.4%","37.6%","26.2%",".210",".348",".297","20036"
"Tim Anderson","CHW","79","332","351","100","81","13","0","6","50","25","14","1","55","5","0","0","10","13","0",".301","4.0%","15.7%",".339",".395",".734",".093",".347","24.2%","54.9%","20.9%","10.3%",".323","2.0","110","44.4%","77.3%","57.8%","69.4%","88.1%","11.8%","35.7%","33.9%","30.3%","12.6%","58.8%","28.5%","88.2","3.3","108.7","5.8%","41.2%","24.0%",".302",".438",".340","15172"
"Daulton Varsho","ARI","151","531","592","125","72","23","3","27","79","74","46","0","145","7","5","2","8","16","6",".235","7.8%","24.5%",".302",".443",".745",".207",".269","15.3%","40.4%","44.3%","16.1%",".323","4.6","106","34.8%","68.7%","49.9%","67.6%","82.3%","11.7%","54.5%","29.5%","16.0%","19.1%","47.1%","33.8%","87.7","14.9","110.3","10.2%","35.3%","27.5%",".214",".389",".298","19918"
"Christopher Morel","CHC","113","379","425","89","50","19","4","16","55","47","38","0","137","3","2","3","6","10","7",".235","8.9%","32.2%",".308",".433",".741",".198",".320","17.5%","50.0%","32.5%","20.5%",".322","1.6","108","33.2%","72.8%","49.5%","54.8%","68.9%","18.1%","45.7%","37.2%","17.0%","16.6%","46.6%","36.8%","89.6","9.1","112.9","13.4%","39.7%","32.3%",".233",".435",".324","21897"
"Eric Haase","DET","110","323","351","82","50","17","1","14","41","44","24","1","97","1","3","0","9","0","0",".254","6.8%","27.6%",".305",".443",".748",".189",".316","19.7%","39.3%","41.0%","14.9%",".322","1.3","112","39.2%","71.9%","51.4%","57.1%","79.7%","16.0%","45.0%","29.7%","25.3%","18.3%","52.4%","29.3%","87.7","17.0","109.9","8.7%","42.4%","30.9%",".239",".399",".302","14111"
"Ji-Man Choi","TBR","113","356","419","83","50","22","0","11","36","52","58","3","123","2","3","0","3","0","0",".233","13.8%","29.4%",".341",".388",".729",".154",".320","23.0%","45.1%","31.9%","14.7%",".322","1.3","116","23.0%","71.6%","41.5%","55.2%","77.5%","12.5%","41.5%","34.3%","24.2%","10.2%","56.8%","33.1%","92.2","10.6","111.1","11.9%","47.5%","29.0%",".236",".413",".337","5452"
"Nick Gordon","MIN","138","405","443","110","69","28","4","9","45","50","19","1","105","10","6","3","8","6","4",".272","4.3%","23.7%",".316",".427",".743",".156",".340","24.2%","40.5%","35.3%","8.3%",".321","1.5","111","42.4%","80.8%","59.2%","61.4%","83.0%","15.2%","41.1%","32.7%","26.2%","8.1%","54.4%","37.5%","90.6","12.5","110.7","9.4%","44.3%","25.6%",".261",".464",".333","16337"
"Brendan Rodgers","COL","137","527","581","140","94","30","3","13","72","63","46","0","101","3","5","0","25","0","0",".266","7.9%","17.4%",".325",".408",".733",".142",".304","21.1%","52.2%","26.7%","11.3%",".321","1.7","92","31.4%","74.0%","49.4%","64.7%","88.0%","10.1%","30.9%","37.8%","31.3%","14.8%","50.1%","35.0%","90.0","4.6","112.2","7.2%","45.9%","25.2%",".265",".404",".326","17907"
"Orlando Arcia","ATL","68","209","234","51","33","9","0","9","25","30","21","0","51","2","2","0","7","0","0",".244","9.0%","21.8%",".316",".416",".733",".172",".278","16.4%","45.9%","37.7%","15.0%",".321","0.7","104","31.2%","63.8%","44.7%","54.2%","88.5%","11.4%","42.5%","36.3%","21.3%","11.9%","52.5%","35.6%","90.7","11.7","107.9","7.5%","42.5%","29.3%",".253",".421",".329","13185"
